stages,map,team,player_name,player_steamid,side,Kills,Assists,Deaths,Smokes Thrown,Molotovs Thrown,Grenades,Headshots,Rounds Played,Headshot %
Quarterfinals,Dust2,The MongolZ,Mzinho,76561198838822582,Counter Terrorist,14.0,1.0,9.0,3.0,6.0,1.0,8.0,12.0,57.14
Quarterfinals,Dust2,The MongolZ,Mzinho,76561198838822582,Terrorist,1.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
Quarterfinals,Dust2,The MongolZ,Mzinho,76561198838822582,Both,15.0,2.0,14.0,3.0,6.0,1.0,8.0,17.0,53.33
Quarterfinals,Dust2,The MongolZ,Techno4K,76561198966340160,Counter Terrorist,6.0,3.0,8.0,6.0,6.0,1.0,5.0,12.0,83.33
Quarterfinals,Dust2,The MongolZ,Techno4K,76561198966340160,Terrorist,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
Quarterfinals,Dust2,The MongolZ,Techno4K,76561198966340160,Both,7.0,3.0,13.0,6.0,6.0,1.0,5.0,17.0,71.43
Quarterfinals,Dust2,The MongolZ,bLitz,76561198959824088,Counter Terrorist,4.0,5.0,11.0,3.0,4.0,3.0,1.0,12.0,25.0
Quarterfinals,Dust2,The MongolZ,bLitz,76561198959824088,Terrorist,3.0,1.0,5.0,0.0,1.0,0.0,1.0,5.0,33.33
Quarterfinals,Dust2,The MongolZ,bLitz,76561198959824088,Both,7.0,6.0,16.0,3.0,5.0,3.0,2.0,17.0,28.57
Quarterfinals,Dust2,The MongolZ,controlez,76561198362438171,Counter Terrorist,5.0,1.0,9.0,0.0,4.0,1.0,2.0,12.0,40.0
Quarterfinals,Dust2,The MongolZ,controlez,76561198362438171,Terrorist,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
Quarterfinals,Dust2,The MongolZ,controlez,76561198362438171,Both,6.0,1.0,14.0,0.0,4.0,1.0,2.0,17.0,33.33
Quarterfinals,Inferno,FURIA Esports,FalleN,76561197960690195,Counter Terrorist,14.0,3.0,3.0,2.0,5.0,2.0,4.0,15.0,28.57
Quarterfinals,Inferno,FURIA Esports,FalleN,76561197960690195,Terrorist,6.0,3.0,8.0,10.0,5.0,0.0,3.0,14.0,50.0
Quarterfinals,Inferno,FURIA Esports,FalleN,76561197960690195,Both,20.0,6.0,11.0,12.0,10.0,2.0,7.0,29.0,35.0
Quarterfinals,Inferno,FURIA Esports,KSCERATO,76561198058500492,Counter Terrorist,15.0,3.0,8.0,6.0,8.0,3.0,3.0,15.0,20.0
Quarterfinals,Inferno,FURIA Esports,KSCERATO,76561198058500492,Terrorist,6.0,4.0,13.0,3.0,4.0,2.0,3.0,14.0,50.0
Quarterfinals,Inferno,FURIA Esports,KSCERATO,76561198058500492,Both,21.0,7.0,21.0,9.0,12.0,5.0,6.0,29.0,28.57
Quarterfinals,Inferno,FURIA Esports,YEKINDAR,76561198134401925,Counter Terrorist,8.0,7.0,8.0,1.0,8.0,3.0,4.0,15.0,50.0
Quarterfinals,Inferno,FURIA Esports,YEKINDAR,76561198134401925,Terrorist,8.0,3.0,8.0,3.0,4.0,1.0,5.0,14.0,62.5
Quarterfinals,Inferno,FURIA Esports,YEKINDAR,76561198134401925,Both,16.0,10.0,16.0,4.0,12.0,4.0,9.0,29.0,56.25
Quarterfinals,Inferno,FURIA Esports,molodoy,76561198200982290,Counter Terrorist,9.0,3.0,9.0,2.0,5.0,0.0,1.0,15.0,11.11
Quarterfinals,Inferno,FURIA Esports,molodoy,76561198200982290,Terrorist,9.0,3.0,11.0,3.0,0.0,4.0,3.0,14.0,33.33
Quarterfinals,Inferno,FURIA Esports,molodoy,76561198200982290,Both,18.0,6.0,20.0,5.0,5.0,4.0,4.0,29.0,22.22
Quarterfinals,Inferno,FURIA Esports,yuurih,76561198164970560,Counter Terrorist,12.0,2.0,9.0,3.0,6.0,0.0,5.0,15.0,41.67
Quarterfinals,Inferno,FURIA Esports,yuurih,76561198164970560,Terrorist,7.0,4.0,10.0,4.0,5.0,2.0,2.0,14.0,28.57
